season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,George Hill,MIL,UNK,59,21.5,6.4,3.3,1.7,1.4,9.4,3.1,3.0,0.8,0.1,1.0
2019-20,Georges Niang,UTA,UNK,66,14.0,4.9,2.1,0.4,0.3,5.9,0.7,1.9,0.3,0.1,0.5
2019-20,Giannis Antetokounmpo,MIL,UNK,63,30.4,19.7,10.9,10.0,6.3,29.5,5.6,13.6,1.0,1.0,3.7
2019-20,Glenn Robinson III,PHI,UNK,62,28.8,9.5,4.6,1.4,1.2,11.7,1.5,4.4,0.9,0.3,0.9
2019-20,Goga Bitadze,IND,UNK,54,8.7,2.8,1.3,0.6,0.4,3.2,0.4,2.0,0.2,0.7,0.5
2019-20,Goran Dragic,MIA,UNK,59,28.2,12.3,5.4,4.2,3.2,16.2,5.1,3.2,0.7,0.2,2.4
2019-20,Gordon Hayward,BOS,UNK,52,33.5,13.5,6.7,2.8,2.4,17.5,4.1,6.7,0.7,0.4,1.8
2019-20,Gorgui Dieng,MEM,UNK,63,17.4,5.8,2.6,1.6,1.2,7.4,1.2,5.6,0.8,0.9,1.0
2019-20,Grant Williams,BOS,UNK,69,15.1,3.1,1.3,0.8,0.6,3.4,1.0,2.6,0.4,0.5,0.7
2019-20,Grayson Allen,MEM,UNK,38,18.9,6.6,3.1,1.2,1.0,8.7,1.4,2.2,0.3,0.1,0.9
2019-20,Hamidou Diallo,OKC,UNK,46,19.5,6.4,2.9,1.4,0.8,6.9,0.8,3.6,0.8,0.2,1.1
2019-20,Harrison Barnes,SAC,UNK,72,34.5,11.0,5.1,3.7,3.0,14.5,2.2,4.9,0.6,0.2,1.2
2019-20,Harry Giles III,SAC,UNK,46,14.5,5.5,3.0,1.1,0.8,6.9,1.3,4.1,0.5,0.4,1.0
2019-20,Hassan Whiteside,POR,UNK,67,30.0,10.5,6.5,3.6,2.4,15.5,1.2,13.5,0.4,2.9,1.8
2019-20,Henry Ellenson,BKN,UNK,5,3.0,1.4,0.2,0.0,0.0,0.4,0.2,1.2,0.0,0.0,0.0
2019-20,Ian Mahinmi,WAS,UNK,38,21.3,5.5,2.7,3.0,1.8,7.4,1.3,5.7,0.8,1.2,1.2
2019-20,Ignas Brazdeikis,NYK,UNK,9,5.9,2.4,0.7,0.6,0.4,1.9,0.4,0.6,0.0,0.1,0.2
2019-20,Iman Shumpert,BKN,UNK,13,18.5,4.9,1.6,0.5,0.3,4.2,0.9,2.6,0.9,0.2,0.8
2019-20,Isaac Bonga,WAS,UNK,66,18.9,3.5,1.8,1.3,1.0,5.0,1.2,3.4,0.7,0.3,0.9
2019-20,Isaiah Hartenstein,HOU,UNK,23,11.6,2.9,1.9,1.2,0.8,4.7,0.8,3.9,0.4,0.5,0.7
